ymbky,0,1990-01-01,1
jhsr,1,2018-03-02,21
fsbtdcq,0,1990-01-01,4633
njdzjcgdspmbm,1,2018-03-23,190
nwssszq,0,1990-01-01,1
awj,1,2017-12-30,214
fslz,1,2017-09-27,8
bzbs,1,2018-04-09,170
hxxlyhjh,0,1990-01-01,75
ssswjhhxxy,19,2017-08-04,3
rbzj,19,2017-08-02,-1
dsrsdf,13,2017-08-02,-1
fhfdfgj,1,2018-06-25,20
nzdl,7,2017-08-03,-1
whks,1,2018-01-19,17
bwsdklr,18,2017-08-04,-1
tsqb,8,2017-08-04,-1
djyd,1,2017-08-05,-1
xqwbjfy,2,2017-08-05,-1
djsb,7,2017-08-05,-1
alhakb,10,2017-08-05,-1
gyddw,1,2018-03-23,16
jjddw,1,2017-08-13,-1
wyzswzh,11,2017-08-20,-1
mydnl,1,2017-08-23,-1
zswzgyddf,2,2017-08-25,-1
sszz,7,2017-08-25,-1
jpbjzd,4,2017-09-03,-1
zlpccz,4,2017-09-08,-1
jydldbyj,1,2018-04-18,15
yywm,1,2018-05-23,11
dmhb,1,2017-12-01,-1
shwddy,2,2017-12-06,-1
wnfs,1,2017-12-06,-1
szbnqb,3,2017-12-10,-1
gsty,2,2018-02-17,-1
glgjssy,3,2018-03-17,-1
yqpnzy,2,2018-04-09,-1
ndjswd,4,2018-04-17,-1
pdddfl,1,2018-04-21,-1
cdsc,3,2018-04-26,-1
